agent_name,inventory,backlog,demand_trend,placed_order,weekly_cost
Wholesaler,145,8,22.0,0,242
Retailer,108,0,22.0,21,94
Distributor,337,0,20.0,0,362
Wholesaler,137,21,20.0,5,346
Retailer,94,0,20.0,46,78
Distributor,337,5,22.25,0,712
Wholesaler,116,46,22.25,76,415
Retailer,78,0,22.25,69,65
Distributor,332,76,26.5,0,1071
Wholesaler,70,69,26.5,163,281
Retailer,65,0,26.5,55,78
Distributor,256,163,27.75,170,733
Wholesaler,6,55,27.75,128,27
Retailer,78,0,27.75,0,127
Distributor,93,128,30.25,193,175
Wholesaler,27,0,30.25,0,190
Retailer,127,0,30.25,0,148
Distributor,0,35,27.5,70,65
Wholesaler,190,0,27.5,0,283
Retailer,148,0,27.5,0,125
Distributor,65,0,23.25,0,165
Wholesaler,283,0,23.25,0,353
Retailer,125,0,23.25,7,109
Distributor,165,0,26.0,0,265
Wholesaler,318,7,26.0,0,576
Retailer,109,0,26.0,53,78
Distributor,265,0,21.75,0,365
Wholesaler,311,53,21.75,0,503
Retailer,78,0,21.75,49,68
Distributor,365,0,24.0,0,398
Wholesaler,258,49,24.0,0,424
Retailer,68,0,24.0,43,89
Distributor,398,0,28.5,0,398
Wholesaler,209,43,28.5,0,316
Retailer,89,0,28.5,30,104
Distributor,398,0,25.25,0,398
Wholesaler,166,30,25.25,0,136
Retailer,104,0,25.25,0,129
Distributor,398,0,29.5,0,398
Wholesaler,136,0,29.5,0,181
Retailer,129,0,29.5,9,125
Distributor,398,0,30.25,0,398
Wholesaler,136,9,30.25,0,352
Retailer,125,0,30.25,45,90
Distributor,398,0,26.75,0,713
Wholesaler,127,45,26.75,63,287
Retailer,90,0,26.75,41,79
Distributor,398,63,29.75,0,835
Wholesaler,82,41,29.75,100,221
Retailer,79,0,29.75,36,94
Distributor,335,100,29.5,0,575
Wholesaler,41,36,29.5,68,223
Retailer,94,0,29.5,31,102
Distributor,235,68,29.0,1,167
Wholesaler,68,31,29.0,0,277
Retailer,102,0,29.0,28,105
Distributor,167,0,37.25,0,167
Wholesaler,137,28,37.25,0,527
Retailer,105,0,37.25,70,83
Distributor,167,0,36.0,0,483
Wholesaler,177,70,36.0,63,302
Retailer,83,0,36.0,39,86
Distributor,168,63,34.75,58,460
Wholesaler,107,39,34.75,71,68
Retailer,86,0,34.75,0,128
Distributor,105,71,33.5,137,34
Wholesaler,68,0,33.5,0,131
Retailer,128,0,33.5,0,139
Distributor,34,0,27.75,8,92
Wholesaler,131,0,27.75,0,307
Retailer,139,0,27.75,21,109
Distributor,92,0,28.5,0,192
Wholesaler,202,21,28.5,0,416
Retailer,109,0,28.5,47,81
Distributor,192,0,34.5,0,302
Wholesaler,181,47,34.5,13,644
Retailer,81,0,34.5,102,50
Distributor,237,13,32.25,0,1074
Wholesaler,134,102,32.25,170,237
Retailer,50,0,32.25,41,78
Distributor,224,170,33.0,216,739
Wholesaler,32,41,33.0,137,4
Retailer,78,0,33.0,0,147
Distributor,54,137,34.75,154,415
Wholesaler,4,0,34.75,0,174
Retailer,147,0,34.75,0,153
Distributor,0,83,30.0,166,17
Wholesaler,174,0,30.0,0,293
Retailer,153,0,30.0,13,120
Distributor,17,0,32.75,0,117
Wholesaler,228,13,32.75,0,498
Retailer,120,0,32.75,40,90
Distributor,117,0,32.75,0,217
Wholesaler,298,40,32.75,0,573
Retailer,90,0,32.75,63,70
Distributor,217,0,30.75,0,317
Wholesaler,258,63,30.75,0,415
Retailer,70,0,30.75,44,83
Distributor,317,0,26.75,0,417
Wholesaler,195,44,26.75,0,151
Retailer,83,0,26.75,0,129
Distributor,417,0,25.5,0,453
Wholesaler,151,0,25.5,0,151
Retailer,129,0,25.5,0,148
Distributor,453,0,23.75,0,453
Wholesaler,151,0,23.75,0,171
Retailer,148,0,23.75,4,122
Distributor,453,0,21.0,0,453
Wholesaler,151,4,21.0,0,197
Retailer,122,0,21.0,10,106
Distributor,453,0,24.0,0,453
Wholesaler,147,10,24.0,0,377
Retailer,106,0,24.0,48,81
Distributor,453,0,22.5,0,748
Wholesaler,137,48,22.5,59,324
Retailer,81,0,22.5,47,72
Distributor,453,59,21.25,0,919
Wholesaler,89,47,21.25,105,152
Retailer,72,0,21.25,22,99
Distributor,394,105,24.5,0,504
Wholesaler,42,22,24.5,43,139
Retailer,99,0,24.5,12,117
Distributor,289,43,25.75,0,246
Wholesaler,79,12,25.75,0,317
Retailer,117,0,25.75,29,105
Distributor,246,0,36.25,0,246
Wholesaler,172,29,36.25,0,711
Retailer,105,0,36.25,105,56
Distributor,246,0,37.5,0,866
Wholesaler,186,105,37.5,124,416
Retailer,56,0,37.5,67,59
Distributor,246,124,34.25,102,887
Wholesaler,81,67,34.25,153,14
Retailer,59,0,34.25,0,148
Distributor,122,153,30.0,222,155
Wholesaler,14,0,30.0,0,138
Retailer,148,0,30.0,0,198
Distributor,0,31,19.75,62,69
Wholesaler,138,0,19.75,0,260
Retailer,198,0,19.75,0,178
Distributor,69,0,18.25,0,169
Wholesaler,260,0,18.25,0,291
Retailer,178,0,18.25,0,158
Distributor,169,0,21.0,0,269
Wholesaler,291,0,21.0,0,291
Retailer,158,0,21.0,0,131
Distributor,269,0,22.0,0,355
Wholesaler,291,0,22.0,0,346
Retailer,131,0,22.0,11,110
Distributor,355,0,24.75,0,355
Wholesaler,291,11,24.75,0,540
Retailer,110,0,24.75,52,79
Distributor,355,0,25.5,0,355
Wholesaler,280,52,25.5,0,508
Retailer,79,0,25.5,56,67
Distributor,355,0,33.25,0,355
Wholesaler,228,56,33.25,0,657
Retailer,67,0,33.25,97,61
Distributor,355,0,32.75,0,965
Wholesaler,172,97,32.75,122,180
Retailer,61,0,32.75,21,98
Distributor,355,122,29.5,0,568
Wholesaler,75,21,29.5,67,54
Retailer,98,0,29.5,0,177
Distributor,233,67,28.0,1,166
Wholesaler,54,0,28.0,0,176
Retailer,177,0,28.0,0,181
Distributor,166,0,19.0,0,166
Wholesaler,176,0,19.0,0,243
Retailer,181,0,19.0,0,159
Distributor,166,0,18.25,0,167
Wholesaler,243,0,18.25,0,243
Retailer,159,0,18.25,0,143
Distributor,167,0,22.0,0,167
Wholesaler,243,0,22.0,0,358
Retailer,143,0,22.0,23,110
Distributor,167,0,25.5,0,167
Wholesaler,243,23,25.5,0,480
Retailer,110,0,25.5,52,79
Distributor,167,0,27.0,0,167
Wholesaler,220,52,27.0,0,438
Retailer,79,0,27.0,54,74
Distributor,100,0,21.0,0,100
Wholesaler,100,0,21.0,0,310
Retailer,100,0,21.0,42,79
Distributor,100,0,27.0,0,520
Wholesaler,100,42,27.0,84,493
Retailer,79,0,27.0,87,46
Distributor,100,84,26.666666666666668,168,806
Wholesaler,58,87,26.666666666666668,158,465
Retailer,46,0,26.666666666666668,64,62
Distributor,16,158,26.75,116,1630
Wholesaler,0,93,26.75,184,215
Retailer,62,0,26.75,34,93
Distributor,0,326,27.75,200,1710
Wholesaler,0,43,27.75,116,135
Retailer,93,0,27.75,0,152
Distributor,0,342,28.25,200,1480
Wholesaler,0,27,28.25,54,83
Retailer,152,0,28.25,2,133
Distributor,0,296,25.75,200,980
Wholesaler,73,2,25.75,0,171
Retailer,133,0,25.75,0,144
Distributor,0,196,22.75,200,480
Wholesaler,171,0,22.75,0,271
Retailer,144,0,22.75,0,131
Distributor,0,96,20.5,192,4
Wholesaler,271,0,20.5,0,376
Retailer,131,0,20.5,1,115
Distributor,4,0,17.5,0,104
Wholesaler,371,1,17.5,0,621
Retailer,115,0,17.5,31,92
Distributor,104,0,20.75,0,204
Wholesaler,466,31,20.75,0,760
Retailer,92,0,20.75,65,64
Distributor,204,0,21.25,0,304
Wholesaler,435,65,21.25,0,565
Retailer,64,0,21.25,39,78
Distributor,304,0,21.25,0,404
Wholesaler,370,39,21.25,0,331
Retailer,78,0,21.25,0,127
Distributor,404,0,23.0,0,504
Wholesaler,331,0,23.0,0,331
Retailer,127,0,23.0,0,136
Distributor,504,0,23.25,0,604
Wholesaler,331,0,23.25,0,451
Retailer,136,0,23.25,24,106
Distributor,604,0,27.25,0,704
Wholesaler,331,24,27.25,0,607
Retailer,106,0,27.25,60,73
Distributor,704,0,29.75,0,780
Wholesaler,307,60,29.75,0,522
Retailer,73,0,29.75,55,71
Distributor,780,0,27.5,0,780
Wholesaler,247,55,27.5,0,247
Retailer,71,0,27.5,11,110
Distributor,780,0,28.0,0,780
Wholesaler,192,11,28.0,0,181
Retailer,110,0,28.0,0,133
Distributor,780,0,38.0,0,780
Wholesaler,181,0,38.0,0,691
Retailer,133,0,38.0,102,71
Distributor,780,0,36.75,0,1395
Wholesaler,181,102,36.75,123,434
Retailer,71,0,36.75,71,50
Distributor,780,123,37.75,0,1472
Wholesaler,79,71,37.75,163,8
Retailer,50,0,37.75,0,127
Distributor,657,163,34.5,0,494
Wholesaler,8,0,34.5,0,131
Retailer,127,0,34.5,0,179
Distributor,494,0,23.0,0,494
Wholesaler,131,0,23.0,0,294
Retailer,179,0,23.0,0,152
Distributor,494,0,24.75,0,494
Wholesaler,294,0,24.75,0,314
Retailer,152,0,24.75,4,124
Distributor,494,0,24.0,0,494
Wholesaler,294,4,24.0,0,390
Retailer,124,0,24.0,20,102
Distributor,494,0,28.0,0,494
Wholesaler,290,20,28.0,0,590
Retailer,102,0,28.0,64,71
Distributor,494,0,26.75,0,494
Wholesaler,270,64,26.75,0,471
Retailer,71,0,26.75,53,69
Distributor,494,0,24.5,0,494
Wholesaler,206,53,24.5,0,178
Retailer,69,0,24.5,5,114
Distributor,494,0,25.25,0,494
Wholesaler,153,5,25.25,0,148
Retailer,114,0,25.25,0,142
Distributor,494,0,24.75,0,494
Wholesaler,148,0,24.75,0,243
Retailer,142,0,24.75,19,114
Distributor,494,0,28.0,0,494
Wholesaler,148,19,28.0,0,409
Retailer,114,0,28.0,56,79
Distributor,494,0,28.75,0,909
Wholesaler,129,56,28.75,83,303
Retailer,79,0,28.75,46,76
Distributor,494,83,27.25,0,1006
Wholesaler,73,46,27.25,119,57
Retailer,76,0,27.25,6,113
Distributor,411,119,27.0,0,302
Wholesaler,27,6,27.0,2,129
Retailer,113,0,27.0,5,127
Distributor,292,2,27.0,0,290
Wholesaler,104,5,27.0,0,403
Retailer,127,0,27.0,37,98
Distributor,290,0,26.0,0,290
Wholesaler,218,37,26.0,0,348
Retailer,98,0,26.0,33,85
Distributor,290,0,30.0,0,290
Wholesaler,183,33,30.0,0,390
Retailer,85,0,30.0,48,87
Distributor,290,0,26.25,0,520
Wholesaler,150,48,26.25,46,172
Retailer,87,0,26.25,14,103
Distributor,290,46,22.25,0,374
Wholesaler,102,14,22.25,26,88
Retailer,103,0,22.25,0,132
Distributor,244,26,36.25,0,218
Wholesaler,88,0,36.25,0,644
Retailer,132,0,36.25,102,72
Distributor,218,0,31.25,0,938
Wholesaler,134,102,31.25,144,348
Retailer,72,0,31.25,58,57
Distributor,218,144,34.75,170,864
Wholesaler,58,58,34.75,158,15
Retailer,57,0,34.75,3,128
Distributor,74,158,33.75,174,420
Wholesaler,0,3,33.75,0,141
Retailer,128,0,33.75,0,171
Distributor,0,84,22.5,168,16
Wholesaler,141,0,22.5,0,215
Retailer,171,0,22.5,0,145
Distributor,16,0,24.25,0,116
Wholesaler,215,0,24.25,0,299
Retailer,145,0,24.25,0,123
Distributor,116,0,20.75,0,216
Wholesaler,299,0,20.75,0,354
Retailer,123,0,20.75,11,106
Distributor,216,0,25.25,0,316
Wholesaler,299,11,25.25,0,588
Retailer,106,0,25.25,60,73
Distributor,316,0,24.0,0,416
Wholesaler,288,60,24.0,0,548
Retailer,73,0,24.0,64,60
Distributor,416,0,27.25,0,428
Wholesaler,228,64,27.25,0,414
Retailer,60,0,27.25,50,85
Distributor,428,0,27.5,0,608
Wholesaler,164,50,27.5,36,114
Retailer,85,0,27.5,0,131
Distributor,428,36,27.25,0,392
Wholesaler,114,0,27.25,0,114
Retailer,131,0,27.25,0,149
Distributor,392,0,26.75,0,392
Wholesaler,114,0,26.75,0,150
Retailer,149,0,26.75,0,127
Distributor,392,0,22.75,0,392
Wholesaler,150,0,22.75,0,205
Retailer,127,0,22.75,11,108
Distributor,392,0,23.25,0,392
Wholesaler,150,11,23.25,0,299
Retailer,108,0,23.25,32,88
Distributor,392,0,19.5,0,517
Wholesaler,139,32,19.5,25,282
Retailer,88,0,19.5,35,82
Distributor,392,25,21.75,0,682
Wholesaler,107,35,21.75,63,312
Retailer,82,0,21.75,48,83
Distributor,367,63,21.25,0,799
Wholesaler,72,48,21.25,99,129
Retailer,83,0,21.25,16,101
Distributor,304,99,23.25,0,305
Wholesaler,49,16,23.25,20,131
Retailer,101,0,23.25,7,121
Distributor,205,20,25.0,0,185
Wholesaler,96,7,25.0,0,243
Retailer,121,0,25.0,11,113
Distributor,185,0,25.75,0,185
Wholesaler,188,11,25.75,0,437
Retailer,113,0,25.75,48,86
Distributor,185,0,28.75,0,185
Wholesaler,197,48,28.75,0,454
Retailer,86,0,28.75,61,68
Distributor,185,0,30.0,0,550
Wholesaler,149,61,30.0,73,338
Retailer,68,0,30.0,50,83
Distributor,185,73,28.5,61,672
Wholesaler,88,50,28.5,112,38
Retailer,83,0,28.5,0,126
Distributor,112,112,23.75,212,0
Wholesaler,38,0,23.75,0,111
Retailer,126,0,23.75,0,161
Distributor,0,0,23.75,39,61
Wholesaler,111,0,23.75,0,223
Retailer,161,0,23.75,0,132
Distributor,61,0,24.25,0,161
Wholesaler,223,0,24.25,0,413
Retailer,132,0,24.25,38,97
Distributor,161,0,28.0,0,261
Wholesaler,223,38,28.0,0,530
Retailer,97,0,28.0,69,64
Distributor,261,0,33.0,0,577
Wholesaler,185,69,33.0,53,456
Retailer,64,0,33.0,68,67
Distributor,312,53,33.75,0,859
Wholesaler,116,68,33.75,120,188
Retailer,67,0,33.75,28,104
Distributor,259,120,29.75,81,414
Wholesaler,48,28,29.75,55,73
Retailer,104,0,29.75,0,153
Distributor,139,55,27.75,71,84
Wholesaler,73,0,27.75,0,193
Retailer,153,0,27.75,0,156
Distributor,84,0,27.5,0,165
Wholesaler,193,0,27.5,0,308
Retailer,156,0,27.5,12,122
Distributor,165,0,25.0,0,236
Wholesaler,248,12,25.0,0,346
Retailer,122,0,25.0,22,100
Distributor,236,0,26.25,0,236
Wholesaler,236,22,26.25,0,394
Retailer,100,0,26.25,36,88
Distributor,236,0,28.75,0,236
Wholesaler,214,36,28.75,0,478
Retailer,88,0,28.75,60,75
Distributor,236,0,25.25,0,446
Wholesaler,178,60,25.25,42,263
Retailer,75,0,25.25,29,91
Distributor,236,42,27.75,0,394
Wholesaler,118,29,27.75,40,154
Retailer,91,0,27.75,13,119
Distributor,194,40,26.0,0,154
Wholesaler,89,13,26.0,0,118
Retailer,119,0,26.0,0,131
Distributor,154,0,25.5,0,154
Wholesaler,118,0,25.5,0,268
Retailer,131,0,25.5,22,111
Distributor,154,0,26.25,0,154
Wholesaler,158,22,26.25,0,311
Retailer,111,0,26.25,35,88
Distributor,154,0,22.25,0,324
Wholesaler,136,35,22.25,34,211
Retailer,88,0,22.25,22,94
Distributor,154,34,23.25,14,335
Wholesaler,101,22,23.25,43,144
Retailer,94,0,23.25,13,108
Distributor,120,43,18.75,66,142
Wholesaler,79,13,18.75,13,100
Retailer,108,0,18.75,0,115
Distributor,77,13,19.25,35,78
Wholesaler,100,0,19.25,0,253
Retailer,115,0,19.25,22,103
Distributor,78,0,23.75,0,144
Wholesaler,143,22,23.75,0,459
Retailer,103,0,23.75,65,69
Distributor,144,0,23.5,0,659
Wholesaler,134,65,23.5,96,314
Retailer,69,0,23.5,49,71
Distributor,179,96,28.25,113,728
Wholesaler,69,49,28.25,129,180
Retailer,71,0,28.25,32,102
Distributor,83,129,30.0,183,470
Wholesaler,20,32,30.0,48,149
Retailer,102,0,30.0,13,119
Distributor,0,94,27.25,188,6
Wholesaler,84,13,27.25,0,154
Retailer,119,0,27.25,0,128
Distributor,6,0,30.75,0,106
Wholesaler,154,0,30.75,0,383
Retailer,128,0,30.75,27,107
Distributor,106,0,28.25,0,206
Wholesaler,248,27,28.25,0,426
Retailer,107,0,28.25,41,83
Distributor,206,0,25.5,0,306
Wholesaler,221,41,25.5,0,340
Retailer,83,0,25.5,32,89
Distributor,306,0,26.75,0,390
Wholesaler,180,32,26.75,0,278
Retailer,89,0,26.75,26,102
Distributor,390,0,22.25,0,410
Wholesaler,148,26,22.25,4,122
Retailer,102,0,22.25,0,118
Distributor,390,4,24.25,0,386
Wholesaler,122,0,24.25,0,222
Retailer,118,0,24.25,20,112
Distributor,386,0,25.75,0,456
Wholesaler,122,20,25.75,14,316
Retailer,112,0,25.75,42,85
Distributor,386,14,23.0,0,762
Wholesaler,106,42,23.0,78,209
Retailer,85,0,23.0,29,88
Distributor,372,78,26.5,0,694
Wholesaler,64,29,26.5,80,199
Retailer,88,0,26.5,30,100
Distributor,294,80,27.25,0,379
Wholesaler,49,30,27.25,33,302
Retailer,100,0,27.25,41,94
Distributor,100,0,33.0,0,100
Wholesaler,100,0,33.0,0,430
Retailer,100,0,33.0,66,67
Distributor,100,0,30.5,0,760
Wholesaler,100,66,30.5,132,479
Retailer,67,0,30.5,89,39
Distributor,100,132,26.0,200,830
Wholesaler,34,89,26.0,134,420
Retailer,39,0,26.0,29,88
Distributor,0,166,23.75,100,1670
Wholesaler,0,84,23.75,168,76
Retailer,88,0,23.75,12,105
Distributor,0,334,21.5,200,1710
Wholesaler,16,12,21.5,108,4
Retailer,105,0,21.5,0,165
Distributor,0,342,21.25,200,1210
Wholesaler,4,0,21.25,0,104
Retailer,165,0,21.25,0,150
Distributor,0,242,24.0,200,710
Wholesaler,104,0,24.0,0,234
Retailer,150,0,24.0,6,122
Distributor,0,142,25.25,200,210
Wholesaler,204,6,25.25,0,408
Retailer,122,0,25.25,22,100
Distributor,0,42,24.25,84,58
Wholesaler,298,22,24.25,0,546
Retailer,100,0,24.25,34,86
Distributor,58,0,23.0,0,158
Wholesaler,376,34,23.0,0,564
Retailer,86,0,23.0,36,86
Distributor,158,0,21.5,0,258
Wholesaler,384,36,21.5,0,468
Retailer,86,0,21.5,24,98
Distributor,258,0,23.5,0,358
Wholesaler,348,24,23.5,0,454
Retailer,98,0,23.5,26,104
Distributor,358,0,24.25,0,458
Wholesaler,324,26,24.25,0,388
Retailer,104,0,24.25,18,105
Distributor,458,0,26.5,0,558
Wholesaler,298,18,26.5,0,435
Retailer,105,0,26.5,31,100
Distributor,558,0,40.25,0,658
Wholesaler,280,31,40.25,0,929
Retailer,100,0,40.25,136,41
Distributor,658,0,40.25,0,1357
Wholesaler,249,136,40.25,123,553
Retailer,41,0,40.25,88,42
Distributor,742,123,40.25,0,1434
Wholesaler,113,88,40.25,163,25
Retailer,42,0,40.25,0,155
Distributor,619,163,36.5,0,456
Wholesaler,25,0,36.5,0,148
Retailer,155,0,36.5,0,227
Distributor,456,0,24.0,0,456
Wholesaler,148,0,24.0,0,311
Retailer,227,0,24.0,0,200
Distributor,456,0,35.25,0,456
Wholesaler,311,0,35.25,0,561
Retailer,200,0,35.25,50,125
Distributor,456,0,37.5,0,456
Wholesaler,311,50,37.5,0,456
Retailer,125,0,37.5,39,93
Distributor,456,0,39.25,0,456
Wholesaler,261,39,39.25,0,237
Retailer,93,0,39.25,3,120
Distributor,456,0,40.0,0,456
Wholesaler,222,3,40.0,0,224
Retailer,120,0,40.0,1,129
Distributor,456,0,26.0,0,456
Wholesaler,219,1,26.0,0,248
Retailer,129,0,26.0,6,113
Distributor,456,0,21.75,0,456
Wholesaler,218,6,21.75,0,292
Retailer,113,0,21.75,16,99
Distributor,456,0,21.75,0,456
Wholesaler,212,16,21.75,0,401
Retailer,99,0,21.75,41,82
Distributor,456,0,22.0,0,456
Wholesaler,196,41,22.0,0,475
Retailer,82,0,22.0,64,67
Distributor,456,0,23.75,0,821
Wholesaler,155,64,23.75,73,311
Retailer,67,0,23.75,44,82
Distributor,456,73,24.5,0,868
Wholesaler,91,44,24.5,97,47
Retailer,82,0,24.5,0,128
Distributor,383,97,25.5,0,286
Wholesaler,47,0,25.5,0,120
Retailer,128,0,25.5,0,145
Distributor,286,0,34.5,0,286
Wholesaler,120,0,34.5,0,662
Retailer,145,0,34.5,89,78
Distributor,286,0,32.75,0,591
Wholesaler,217,89,32.75,61,428
Retailer,78,0,32.75,60,59
Distributor,286,61,35.5,0,685
Wholesaler,128,60,35.5,92,118
Retailer,59,0,35.5,10,119
Distributor,225,92,33.25,59,133
Wholesaler,68,10,33.25,0,119
Retailer,119,0,33.25,0,161
Distributor,133,0,21.75,0,133
Wholesaler,119,0,21.75,0,211
Retailer,161,0,21.75,0,150
Distributor,133,0,25.5,0,192
Wholesaler,211,0,25.5,0,301
Retailer,150,0,25.5,18,116
Distributor,192,0,24.0,0,192
Wholesaler,211,18,24.0,0,343
Retailer,116,0,24.0,30,93
Distributor,192,0,25.25,0,192
Wholesaler,193,30,25.25,0,338
Retailer,93,0,25.25,35,88
Distributor,192,0,28.5,0,227
Wholesaler,163,35,28.5,7,378
Retailer,88,0,28.5,50,84
Distributor,192,7,23.75,0,545
Wholesaler,128,50,23.75,72,133
Retailer,84,0,23.75,11,104
Distributor,185,72,26.5,59,298
Wholesaler,78,11,26.5,37,144
Retailer,104,0,26.5,14,120
Distributor,113,37,29.25,61,76
Wholesaler,74,14,29.25,0,317
Retailer,120,0,29.25,37,97
Distributor,76,0,28.0,0,160
Wholesaler,132,37,28.0,5,367
Retailer,97,0,28.0,47,82
Distributor,135,5,30.5,0,501
Wholesaler,132,47,30.5,62,240
Retailer,82,0,30.5,31,94
Distributor,191,62,30.0,33,489
Wholesaler,85,31,30.0,72,174
Retailer,94,0,30.0,23,109
Distributor,129,72,27.5,115,182
Wholesaler,59,23,27.5,25,138
Retailer,109,0,27.5,8,116
Distributor,57,25,24.5,60,65
Wholesaler,98,8,24.5,0,162
Retailer,116,0,24.5,0,122
Distributor,65,0,22.5,0,165
Wholesaler,162,0,22.5,0,207
Retailer,122,0,22.5,4,113
Distributor,165,0,18.5,0,240
Wholesaler,187,4,18.5,0,278
Retailer,113,0,18.5,19,97
Distributor,240,0,16.75,0,240
Wholesaler,183,19,16.75,0,329
Retailer,97,0,16.75,33,84
Distributor,240,0,20.0,0,250
Wholesaler,164,33,20.0,2,416
Retailer,84,0,20.0,57,73
Distributor,240,2,20.5,0,653
Wholesaler,131,57,20.5,83,234
Retailer,73,0,20.5,32,87
Distributor,238,83,20.5,28,595
Wholesaler,74,32,20.5,88,44
Retailer,87,0,20.5,0,128
Distributor,155,88,20.0,121,67
Wholesaler,44,0,20.0,0,127
Retailer,128,0,20.0,0,145
Distributor,67,0,19.25,5,95
Wholesaler,127,0,19.25,0,260
Retailer,145,0,19.25,9,118
Distributor,95,0,22.5,0,195
Wholesaler,215,9,22.5,0,436
Retailer,118,0,22.5,46,86
Distributor,195,0,23.25,0,221
Wholesaler,206,46,23.25,0,375
Retailer,86,0,23.25,43,76
Distributor,221,0,27.75,0,351
Wholesaler,160,43,27.75,26,337
Retailer,76,0,27.75,44,89
Distributor,221,26,29.25,0,550
Wholesaler,117,44,29.25,71,243
Retailer,89,0,29.25,34,99
Distributor,195,71,25.0,47,469
Wholesaler,73,34,25.0,69,65
Retailer,99,0,25.0,0,128
Distributor,124,69,28.0,114,55
Wholesaler,65,0,28.0,0,136
Retailer,128,0,28.0,0,131
Distributor,55,0,25.0,0,102
Wholesaler,136,0,25.0,0,260
Retailer,131,0,25.0,11,110
Distributor,102,0,25.5,0,202
Wholesaler,205,11,25.5,0,494
Retailer,110,0,25.5,60,75
Distributor,202,0,26.5,0,346
Wholesaler,194,60,26.5,26,394
Retailer,75,0,26.5,52,67
Distributor,216,26,23.25,0,540
Wholesaler,134,52,23.25,70,127
Retailer,67,0,23.25,9,109
Distributor,190,70,23.5,50,170
Wholesaler,82,9,23.5,10,99
Retailer,109,0,23.5,0,139
Distributor,120,10,23.25,0,110
Wholesaler,99,0,23.25,0,269
Retailer,139,0,23.25,20,114
Distributor,110,0,25.5,0,160
Wholesaler,169,20,25.5,0,369
Retailer,114,0,25.5,42,86
Distributor,160,0,26.75,0,285
Wholesaler,159,42,26.75,25,317
Retailer,86,0,26.75,40,83
Distributor,160,25,25.5,0,450
Wholesaler,117,40,25.5,63,122
Retailer,83,0,25.5,9,108
Distributor,135,63,24.5,91,152
Wholesaler,77,9,24.5,16,153
Retailer,108,0,24.5,12,118
Distributor,72,16,24.5,60,56
Wholesaler,93,12,24.5,0,289
Retailer,118,0,24.5,29,99
Distributor,56,0,26.25,0,147
Wholesaler,144,29,26.25,0,376
Retailer,99,0,26.25,49,81
Distributor,147,0,26.5,0,542
Wholesaler,131,49,26.5,67,212
Retailer,81,0,26.5,26,92
Distributor,207,67,26.25,27,490
Wholesaler,82,26,26.25,70,141
Retailer,92,0,26.25,17,112
Distributor,140,70,23.25,100,125
Wholesaler,56,17,23.25,11,106
Retailer,112,0,23.25,0,122
Distributor,70,11,21.75,25,86
Wholesaler,106,0,21.75,0,221
Retailer,122,0,21.75,9,115
Distributor,86,0,24.5,0,186
Wholesaler,176,9,24.5,0,393
Retailer,115,0,24.5,43,86
Distributor,186,0,25.5,0,251
Wholesaler,178,43,25.5,8,490
Retailer,86,0,25.5,71,62
Distributor,211,8,29.0,0,738
Wholesaler,135,71,29.0,107,339
Retailer,62,0,29.0,55,75
Distributor,203,107,29.75,111,786
Wholesaler,64,55,29.75,138,57
Retailer,75,0,29.75,8,119
Distributor,96,138,30.75,196,210
Wholesaler,17,8,30.75,0,116
Retailer,119,0,30.75,0,141
Distributor,0,42,29.75,84,58
Wholesaler,116,0,29.75,0,257
Retailer,141,0,29.75,9,120
Distributor,58,0,30.75,0,158
Wholesaler,212,9,30.75,0,485
Retailer,120,0,30.75,48,86
Distributor,158,0,27.75,0,258
Wholesaler,245,48,27.75,0,372
Retailer,86,0,27.75,35,80
Distributor,258,0,24.75,0,349
Wholesaler,197,35,24.75,0,232
Retailer,80,0,24.75,14,107
Distributor,349,0,24.0,0,349
Wholesaler,162,14,24.0,0,198
Retailer,107,0,24.0,10,116
Distributor,349,0,20.75,0,349
Wholesaler,148,10,20.75,0,198
Retailer,116,0,20.75,12,109
Distributor,349,0,36.0,0,349
Wholesaler,138,12,36.0,0,791
Retailer,109,0,36.0,133,43
Distributor,349,0,38.25,0,1479
Wholesaler,126,133,38.25,226,560
Retailer,43,0,38.25,105,25
Distributor,349,226,39.0,203,623
Wholesaler,0,112,39.0,100,595
Retailer,25,0,39.0,7,122
Distributor,123,100,39.75,177,583
Wholesaler,0,119,39.75,112,237
Retailer,122,0,39.75,26,98
Distributor,23,112,34.75,201,11
Wholesaler,107,26,34.75,0,181
Retailer,98,0,34.75,0,161
Distributor,11,0,32.75,0,111
Wholesaler,181,0,32.75,0,293
Retailer,161,0,32.75,0,165
Distributor,111,0,32.5,0,211
Wholesaler,293,0,32.5,0,293
Retailer,165,0,32.5,0,137
Distributor,211,0,31.25,0,311
Wholesaler,293,0,31.25,0,298
Retailer,137,0,31.25,1,118
Distributor,311,0,23.25,0,411
Wholesaler,293,1,23.25,0,442
Retailer,118,0,23.25,30,94
Distributor,411,0,22.0,0,492
Wholesaler,292,30,22.0,0,457
Retailer,94,0,22.0,39,78
Distributor,492,0,21.25,0,492
Wholesaler,262,39,21.25,0,433
Retailer,78,0,21.25,42,83
Distributor,492,0,23.5,0,492
Wholesaler,223,42,23.5,0,351
Retailer,83,0,23.5,34,94
Distributor,100,0,18.0,0,100
Wholesaler,100,0,18.0,0,280
Retailer,100,0,18.0,36,82
Distributor,100,0,20.0,0,460
Wholesaler,100,36,20.0,72,374
Retailer,82,0,20.0,62,60
Distributor,100,72,22.333333333333332,144,828
